LangCode	SCN	EN	TCN
^copyright	版权	Copyright	版權
^nickname	用户名	Nickname	用戶名
^server_token	服务器口令	Server Token	服務器口令
^server_password	服务器密码	Server Password	服務器密碼
^play_locally	本地跑图	Play locally	本地跑圖
^exit	退出	Exit	退出
^cancel	取消	Cancel	取消
^create_a_room	创建房间	Create a room	創建房間
^software_introduction	软件使用说明	Introduction	軟件使用說明
^watch_a_replay	观看比赛回放	Watch a replay	觀看比賽回放
^select_a_competition_record_file	选择比赛记录文件	Select a competition record file	選擇比賽記錄文件
^competition_record	比赛记录	Competition Record	比賽記錄
^test_version_watermark_annotation	画面与内容质量不代表最终品质。	The effect does not represent the final version.	畫面與內容質量不代表最終品質。
^release_version_watermark_annotation	发布版本。	Release Version.	發布版本。
^fullscreen	全屏	Full Screen	全屏
^join_room_failed	加入房间失败	Failed to join a room	加入房間失敗
^connecting	连接中，点击取消	Connecting	連接中，點擊取消
^connect_server	连接服务器	Connect Server	連接服務器
^input_nickname	输入用户名	Input Nickname	輸入用戶名
^input_token	输入口令	Input Token	輸入口令
^insider_is_disabled	无法启用 RMUC2022 Insider Alpha	Unable to enable RMUC2022 Insider Alpha	無法啟用 RMUC2022 Insider Alpha
^please_use_insider	请使用 Insider 发布版本	Please Use Insider Version	請使用 Insider 發布版本
^local_player	本地玩家	LocalPlayer	本地玩家
^failed_to_join_a_room	加入房间失败	Failed to join a room	加入房間失敗
^game_has_begun	该房间比赛已开始	The room competition has begun	該房間比賽已開始
^no_spare_room	无空闲房间	No spare room	無空閑房間
^no_spare_room_desc	请检查密码是否正确或稍后再试	Please check whether the password is correct or try again later	請檢查密碼是否正確或稍後再試
^no_corresponding_room	未找到对应房间	No corresponding room found	未找到對應房間
^no_corresponding_room_desc	请检查口令是否正确	Please check whether the password is correct	請檢查口令是否正確
^loading	载入中	Loading	載入中
^start	开始比赛	Start	開始比賽
^leave	离开房间	Leave	離開房間
^exercise_room	练习房间	Exercise Room	練習房間
^red_team	红方	Red Team	紅方
^blue_team	蓝方	Blue Team	藍方
^waiting	等待中	Waiting	等待中
^judge	裁判	Judge	裁判
^spectator	观众	Spectator	觀眾
